Date,Stock_Rolling_Vol_Pct,Bond_Rolling_Vol_Pct,Strategy_Rolling_Vol_Pct,Stock_Rolling_Return_Pct,Bond_Rolling_Return_Pct,Strategy_Rolling_Return_Pct,Stock_Sharpe_Unadj,Bond_Sharpe_Unadj,Strategy_Sharpe_Unadj,Stock_Sharpe_TreasuryAdj,Bond_Sharpe_TreasuryAdj,Strategy_Sharpe_TreasuryAdj
2014-12-23,11.109491248559724,4.974977784359721,9.347148986899807,14.973812905592832,7.453878344997511,8.079554285401237,1.311775645133763,1.4700430200996473,0.8780779522868891,1.3096406910327256,1.4652755105891289,0.8755404669066096
2014-12-24,11.105956338678324,4.957370256941047,9.343542492722175,15.22649377340468,7.952046519976053,8.317083465997733,1.331936417965022,1.5684195602472177,0.9018841732489596,1.329817935145789,1.5636735403868502,0.8993660942962535
2014-12-26,11.101696635973449,4.957017116277876,9.338099131890948,15.066108898634312,8.189072154386157,8.166315866479312,1.3198513382387838,1.612786958973889,0.8874348448346996,1.3177499148468794,1.6080806276352193,0.8849365456978884
2014-12-29,11.101882330358363,4.965811721196251,9.338687239642791,15.221742569917307,8.624234234323502,8.31261716239149,1.332013136117967,1.690880357970289,0.9018632143896025,1.32993140706055,1.686226313005095,0.8993884435309077
2014-12-30,11.117755796862395,4.960708768797619,9.356192319931827,14.64343482795889,8.452916953076727,7.76898690945782,1.2849853438701369,1.6607404326549047,0.8465536382008947,1.2829190795476073,1.6561095979858456,0.8440983421398343
2014-12-31,11.164102861074989,4.937475065975288,9.407166542625669,12.92793727752166,9.068096164741245,6.156356990145273,1.1449952431830595,1.782919592878072,0.6821618426451541,1.142946798464399,1.7782878636564006,0.6797308186550158
2015-01-02,11.123479010142178,4.9473235218715805,9.373625138854386,13.951887570198629,9.194684961507171,7.664684251393528,1.2299592515242932,1.802922552210962,0.8348207665955838,1.2279186657859364,1.798334533552255,0.8323992474615488
2015-01-05,11.269133710902546,4.9796238924424285,9.390684519475272,12.050159329280241,9.927106120713791,8.418582652406537,1.0661007933874749,1.9258452743905377,0.9078037286332676,1.0641059498401195,1.9213308453587392,0.9054098500378513
2015-01-06,11.31233892268469,5.0139691842106755,9.407913638816554,11.227252062946347,10.355255876195724,9.421279674403626,0.9972707064926666,1.9905518163164917,1.004199062813046,0.995292251598204,1.9860880967587644,1.0018201132213893
2015-01-07,11.361759354063372,5.012836951721801,9.389713236180421,11.920348615267962,10.158304038212762,8.724198098379897,1.0481192754363524,1.955341618217072,0.9378763518776805,1.0461574593332335,1.9508950976788548,0.9355025112821362
2015-01-08,11.489656203762486,5.004810470602373,9.400146166593098,13.83925271484905,10.249145715513475,8.235682083182262,1.185737746626859,1.9748738551971976,0.8890166308013725,1.1838053667122654,1.9704376470722047,0.8866547121162525
2015-01-09,11.52454901770985,5.020504515729575,9.44075961704093,12.813517269010788,10.504356584586215,7.260436963686456,1.1039169212684554,2.014928907651545,0.7896940702397431,1.1019965899593798,2.0105207944365584,0.7873498783315264
2015-01-12,11.550308028378256,4.9655587835935435,9.470028738564421,11.717048933124063,9.967458064260782,6.217940677150335,1.017112437830825,1.9385547372089251,0.6843832635424119,1.015203260415823,1.9341138297128837,0.6820546975123748
2015-01-13,11.478887657827453,4.95951840122031,9.380613223230716,12.854474021332507,9.752677320073811,7.682315036085563,1.1110112725722354,1.9014208428207449,0.8360100272996825,1.1090926363676081,1.8969801274795663,0.8336622266895246
2015-01-14,11.453522322540097,4.960049658509449,9.33597346997584,11.03718562593925,10.675512701344791,7.066426631599021,0.9714173211471416,2.0700995812307954,0.7781079369857544,0.9694972075960189,2.065665741867541,0.7757523108166865
2015-01-15,11.483112303176238,5.0244303905522285,9.357073426623911,9.383075289928833,11.720163638179958,7.37410167412218,0.8384528806491001,2.2312656104260014,0.8072380744652801,0.8365418617726676,2.2268980617357403,0.8048928492681447
2015-01-16,11.543947645284938,5.079285252692702,9.386719099749717,10.907787608820673,10.588300115000404,6.74657400426848,0.9545977570887227,2.0071506715794043,0.7425227865248549,0.9527009340957258,2.00283966634261,0.740190041175725
2015-01-20,11.535848484105713,5.078938205131375,9.377488529259132,11.66639943142731,10.578280629839076,7.455608030891847,1.0143053673449727,2.0054997003023005,0.8137791144452576,1.0124147804695944,2.0012055894351186,0.8114533825958022
2015-01-21,11.54260323964624,5.10294489995383,9.386710007921165,11.898412387990787,10.172390049407621,6.608571450194778,1.0317690732064169,1.9242119001977493,0.728738169646964,1.029882343042406,1.9199442120038896,0.7264181046097921
2015-01-22,11.637497148746538,5.101193286531227,9.390686719663304,13.543591710222058,10.20496352734368,6.281040987321873,1.1497675070400257,1.9306524148704869,0.6956940256585276,1.1479012763877077,1.9263949298713203,0.6933812817087396
2015-01-23,11.62136403992547,5.098492564988337,9.371430027994816,13.836076009534072,10.180978934028872,6.554817211370656,1.1733508714946286,1.9273776010194794,0.7243895719996475,1.171487854941052,1.9231310922121119,0.7220792742631393
2015-01-26,11.409614554499022,5.092214848670097,9.114544236610259,16.565640321305743,9.48541255820128,9.109791315389648,1.4007659122798322,1.8052792223640801,1.0022253955719767,1.3988780586308076,1.8010492982326773,0.9998621745582305
2015-01-27,11.479015015326821,5.081647105855999,9.207410020316619,15.601749898394402,9.971479603175148,8.008675442707315,1.3206122513990362,1.8961316564786161,0.8828458089375761,1.318746182331412,1.891916362814833,0.8805193528766826
2015-01-28,11.547499949249174,5.132892862138512,9.305042799376977,13.37640013358683,10.65413176562573,6.428056745306154,1.145043694001947,1.9983164551099317,0.7160783520773467,1.1431990014439872,1.9941664391654046,0.7137891001438843
2015-01-29,11.531313126300953,5.129641493326458,9.251022704603953,15.681788661435192,9.742695457618943,7.16740185541449,1.3211501182681018,1.8382509851888638,0.7945705721259609,1.3193131601202286,1.8341215465856795,0.7922808210055259
2015-01-30,11.553953174803091,5.195871316669799,9.335601947229298,12.991763171837567,10.812654818564681,5.952411357755394,1.1150440135829967,2.002278991787039,0.6660491816023216,1.113214089509014,1.9982098269106097,0.663784425972877
2015-02-02,11.585964153904046,5.186510283894825,9.329470066877596,15.002832697877855,10.241350039859531,5.406164008811887,1.2646290888285268,1.9060987816352213,0.6110086583190676,1.2628059331969148,1.902026097954166,0.6087445408886643
2015-02-03,11.449321948969843,5.236364005604386,9.354804228663273,19.29020250058373,8.720237096791084,3.951767085198443,1.5982119033111715,1.6230151003233524,0.46105549638233434,1.5963687221499197,1.6189849804724672,0.4587996314802356
2015-02-04,11.44063748705734,5.227114047221048,9.35621549271104,18.084631875131983,9.229163672267916,3.911252955865585,1.510491401074634,1.7151703144927126,0.4568329614246094,1.5086641635757252,1.7111710212615105,0.4545986433027087
2015-02-05,11.477202987551708,5.227410611655395,9.401487870917185,19.48425298955334,9.224921488459415,5.347061707723566,1.6087772063570258,1.7143327363519107,0.6010747381500923,1.6069720405935182,1.7103693488484,0.5988710174009494
2015-02-06,11.41181840512478,5.348833876639509,9.404054010565135,17.573452006350188,8.204901352425598,5.247820633895728,1.4759805031787885,1.501147776662613,0.5909120113098328,1.4741806425658515,1.4973077466779314,0.5887278806735882
2015-02-09,11.357189395195084,5.344257436125196,9.412990055108088,15.544607134267107,7.8686430342010505,4.490547726315808,1.3291786645926174,1.4441304825140848,0.513709863520409,1.3273942554177083,1.440338398543545,0.5115568948208435
2015-02-10,11.40125247634709,5.351606944968521,9.470026834173128,16.591905059001675,7.545782850975202,5.437651502963581,1.4036674051615827,1.3861910546141676,0.6064796417512344,1.4019072950068496,1.382441253766188,0.6043605917620748
2015-02-11,11.353348907948064,5.3311880323283924,9.407804051950865,15.398509012893214,7.9816653180061925,4.358426694423567,1.3184396312672837,1.4671894482096022,0.5004905634237969,1.31668607553184,1.4634550591816222,0.4983743703160231
2015-02-12,11.386443834038491,5.324440799053123,9.451338780616169,16.363912491068632,8.277495063962048,5.231470800188265,1.3881454598281278,1.5203810694769253,0.5867795497797891,1.3864091985784346,1.5166680333202711,0.584687799429945
