Scaling,Scaling_Label,Lookback_Days,Lookback_Label,Percentile_Cutoff,Percentile_Label,Annual_Return_Pct,Annual_Volatility_Pct,Sharpe_Ratio,Max_Drawdown_Pct
linear,Linear,315,15mo,0.75,75%,29.276383262878912,12.73090384173077,1.773454622279063,-20.08062399603681
linear,Linear,315,15mo,0.8,80%,27.814128047083344,13.183513695293017,1.630663725825788,-23.475322753518082
linear,Linear,315,15mo,0.85,85%,26.264446051949285,13.671083457094966,1.4880016868499326,-26.74712674310683
linear,Linear,315,15mo,0.9,90%,25.0323677845963,14.226730816333841,1.3663612346453604,-27.131664601650783
linear,Linear,315,15mo,0.95,95%,22.39910907478313,15.196414728568799,1.1483851476337008,-27.1316646016508
linear,Linear,378,18mo,0.6,60%,30.782373655658724,11.543140879028657,2.0439247284112647,-12.577611204688777
linear,Linear,378,18mo,0.65,65%,30.162616388300577,11.871632857731456,1.9505517483768298,-13.04056694458821
linear,Linear,378,18mo,0.7,70%,29.288488371649414,12.257151119889349,1.8379412354504787,-14.429426378456355
linear,Linear,378,18mo,0.75,75%,28.174736788863196,12.715601789907414,1.7080672613191903,-18.615648560304347
linear,Linear,378,18mo,0.8,80%,27.135310089122534,13.153248639697207,1.593587435711656,-20.641379553702624
linear,Linear,378,18mo,0.85,85%,26.063568094079038,13.623213865900322,1.4810467009736903,-24.666478752022876
linear,Linear,378,18mo,0.9,90%,24.614781483497204,14.20810632107847,1.3443981316036575,-26.99255305774095
linear,Linear,378,18mo,0.95,95%,22.04290465246601,15.130102803749098,1.1334696071372166,-27.13166460165081
sigmoid,Sigmoid,63,3mo,0.6,60%,31.908079744089378,12.429604044988197,1.975721448462572,-24.582577111504612
sigmoid,Sigmoid,63,3mo,0.65,65%,31.51600266338763,12.666433278434475,1.9175940806330614,-24.68597302728007
sigmoid,Sigmoid,63,3mo,0.7,70%,31.219691577133958,12.870579353775152,1.871663106912517,-24.99942912089712
sigmoid,Sigmoid,63,3mo,0.75,75%,30.9186353496544,13.12471145653165,1.8204315513105693,-25.310246267778037
sigmoid,Sigmoid,63,3mo,0.8,80%,30.307148170198083,13.393376097735981,1.7516036345602939,-25.384613844710614
sigmoid,Sigmoid,63,3mo,0.85,85%,29.571846744076936,13.757558083635523,1.667639061234295,-25.384613844710607
sigmoid,Sigmoid,63,3mo,0.9,90%,27.973983209849763,14.277879695204332,1.5248322645192982,-25.384613844710607
