Scaling,Scaling_Label,Lookback_Days,Lookback_Label,Percentile_Cutoff,Percentile_Label,Annual_Return_Pct,Annual_Volatility_Pct,Sharpe_Ratio,Max_Drawdown_Pct
exponential,Exp,63,3mo,0.95,95%,33.39767289543132,15.597747317796701,1.7992968176900555,-27.131699591508884
exponential,Exp,126,6mo,0.6,60%,32.955157194889,11.70926112709154,2.323273837970743,-25.03663644713383
exponential,Exp,126,6mo,0.65,65%,32.82203300440094,12.080776737050892,2.247186144757544,-26.00140308642553
exponential,Exp,126,6mo,0.7,70%,32.67786860263171,12.44478071154058,2.1763195929389516,-26.596676551077508
exponential,Exp,126,6mo,0.75,75%,33.01884506953516,12.834971828224806,2.134026629195135,-27.131699591508895
exponential,Exp,126,6mo,0.8,80%,33.51759780502983,13.219379270071526,2.1041007696003224,-27.131699591508895
exponential,Exp,126,6mo,0.85,85%,33.33996486694515,13.715085322333284,2.0231698808845318,-27.131699591508912
exponential,Exp,126,6mo,0.9,90%,32.15568729397671,14.39149922265457,1.872633431363358,-27.131699591508905
exponential,Exp,126,6mo,0.95,95%,28.199657027290638,15.477273578157662,1.5550843795074185,-27.131699591508944
exponential,Exp,189,9mo,0.6,60%,32.00713965804272,11.059890699794824,2.3882039045272627,-13.272007130604468
exponential,Exp,189,9mo,0.65,65%,32.09359597309147,11.468968839797657,2.3127615385425893,-13.762696460217864
exponential,Exp,189,9mo,0.7,70%,31.80134795007994,11.97300362116567,2.2018261634530982,-18.91920950615095
exponential,Exp,189,9mo,0.75,75%,31.55908410632979,12.49383195205972,2.100414790778819,-25.718717563826175
exponential,Exp,189,9mo,0.8,80%,31.497652208323636,12.914934456883751,2.0324623191132436,-26.54172808794811
exponential,Exp,189,9mo,0.85,85%,30.636412314974915,13.446026908543383,1.9084819377583107,-27.131699591508852
exponential,Exp,189,9mo,0.9,90%,30.263531392374254,14.023864174382252,1.815070455458311,-27.131699591508863
exponential,Exp,189,9mo,0.95,95%,26.452999310813972,15.056401683962765,1.5032766489857858,-27.13169959150888
exponential,Exp,252,1yr,0.6,60%,31.17556607181786,10.760124106248805,2.3929316419297164,-10.756263873528491
exponential,Exp,252,1yr,0.65,65%,31.149066908730404,11.124536574141612,2.316308012195335,-12.842108856074653
exponential,Exp,252,1yr,0.7,70%,31.28324921548302,11.535374754816038,2.2467140720517245,-13.641341616922736
exponential,Exp,252,1yr,0.75,75%,31.067989130842477,12.041513781336501,2.1435967219346406,-14.864110672093744
exponential,Exp,252,1yr,0.8,80%,29.987073577207735,12.681492236631772,1.9763135009326385,-24.750460206248768
exponential,Exp,252,1yr,0.85,85%,29.41230484680122,13.218772447851451,1.8676902806329079,-26.530687115709696
exponential,Exp,252,1yr,0.9,90%,28.692074996742978,13.824270034485723,1.751412958463579,-27.13169959150892
exponential,Exp,252,1yr,0.95,95%,26.203090337819155,14.809762941289362,1.5123714118883185,-27.13169959150889
exponential,Exp,315,15mo,0.6,60%,29.70864722660178,10.41920283943616,2.359791909758565,-9.24495662179374
exponential,Exp,315,15mo,0.65,65%,30.65946514912261,10.875261667842972,2.33249294996138,-9.690584905575887
exponential,Exp,315,15mo,0.7,70%,30.8147959257828,11.338404725897409,2.252193187135406,-11.585540321252413
exponential,Exp,315,15mo,0.75,75%,30.528960243067328,11.818576282971332,2.146851872356061,-13.402622429248062
exponential,Exp,315,15mo,0.8,80%,29.585466569703932,12.421992656248865,1.990006767052849,-14.683182437167805
exponential,Exp,315,15mo,0.85,85%,28.262053989668967,13.127698590947343,1.8116467135983079,-25.66724931522197
exponential,Exp,315,15mo,0.9,90%,26.987338984582365,13.787264637031315,1.6589339702744053,-27.1316995915089
exponential,Exp,315,15mo,0.95,95%,25.01882044596615,14.818194607920073,1.4479015233041903,-27.13169959150892
exponential,Exp,378,18mo,0.6,60%,29.34254161153458,10.332964669537196,2.351219170979893,-9.974312066032944
exponential,Exp,378,18mo,0.65,65%,29.376599852982398,10.758763598781536,2.2647834241767217,-9.974312066033054
exponential,Exp,378,18mo,0.7,70%,29.6758246094198,11.236250692039356,2.193777013011886,-9.974312066033027
exponential,Exp,378,18mo,0.75,75%,29.0457469198379,11.790241165467055,2.0547102813615847,-12.245718422517054
exponential,Exp,378,18mo,0.8,80%,28.72923649724859,12.301703123730611,1.9543109186198389,-14.028907632773189
exponential,Exp,378,18mo,0.85,85%,27.94182899744664,12.994425867818189,1.809625900849117,-18.63152979993905
exponential,Exp,378,18mo,0.9,90%,26.344322661433004,13.757540924358654,1.6252769695596538,-26.517874635615428
exponential,Exp,378,18mo,0.95,95%,24.350567982391613,14.704176524286774,1.421530656179235,-27.131699591508944
power,Power,63,3mo,0.6,60%,30.062756694563486,14.157745109422294,1.7883554188977853,-26.89914936877404
